               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091502,            0.048957,            0.039587,            0.089107,              0.2023,            0.048265,           0.0087161,            0.041412,            0.013095,            0.022329,             0.00067,             0.00067,             0.09397
                   1,            0.065015,            0.053808,            0.037819,             0.14173,             0.34457,             0.10867,            0.030089,            0.035533,            0.010718,            0.020225,           0.0013497,           0.0013497,             0.08785
                   2,            0.052155,             0.05257,            0.036449,              0.1342,             0.46311,             0.15635,            0.054466,            0.026944,           0.0099353,             0.02006,           0.0020282,           0.0020282,            0.081728
                   3,            0.046358,            0.048212,            0.035767,             0.29713,             0.38755,             0.24191,            0.091992,            0.027103,           0.0086014,            0.019621,           0.0027046,           0.0027046,            0.075605
                   4,            0.042815,            0.044683,             0.03542,              0.2759,             0.52981,             0.30709,            0.082808,            0.028556,           0.0071657,            0.019333,            0.003378,            0.003378,            0.069478
                   5,            0.040514,            0.042539,            0.034927,             0.33646,             0.58101,             0.36964,            0.088576,             0.02777,           0.0060291,               0.019,           0.0040475,           0.0040475,            0.063347
                   6,            0.038419,            0.041722,              0.0344,             0.52077,             0.72141,             0.64735,             0.18403,            0.024052,           0.0062931,            0.016346,           0.0047121,           0.0047121,            0.057212
                   7,            0.039834,            0.040364,            0.032261,              0.6985,              0.7034,             0.75466,             0.29159,            0.022256,           0.0055675,             0.01299,           0.0053712,           0.0053712,            0.051071
                   8,            0.040181,            0.040366,            0.030001,             0.75704,              0.7132,             0.80835,             0.26283,             0.02212,           0.0054794,            0.010044,           0.0060236,           0.0060236,            0.044924
                   9,            0.038771,            0.039974,            0.028496,             0.83012,             0.71083,             0.83053,             0.31331,            0.022115,           0.0053143,           0.0097974,           0.0066687,           0.0066687,            0.038769
                  10,            0.038184,            0.040076,            0.026746,             0.73199,             0.89995,             0.87714,             0.35443,            0.020431,           0.0052865,           0.0081849,           0.0073055,           0.0073055,            0.032605
                  11,            0.036246,            0.038834,            0.025939,             0.67387,             0.65928,             0.68433,             0.24369,            0.022588,           0.0065269,           0.0091568,           0.0079332,           0.0079332,            0.026433
                  12,            0.038348,            0.039049,            0.025339,             0.76015,             0.78093,               0.775,             0.26346,            0.023765,           0.0053631,           0.0092183,            0.008551,            0.008551,            0.020251
                  13,            0.036372,             0.03937,            0.024596,             0.73888,             0.78515,             0.82728,             0.26335,            0.026715,           0.0046488,           0.0058793,            0.009158,            0.009158,            0.014058
                  14,             0.03567,            0.039817,            0.024948,             0.78614,             0.81523,             0.83528,             0.23698,            0.025269,            0.005263,            0.005806,           0.0095717,           0.0095717,           0.0095717
                  15,            0.035213,            0.039617,            0.024337,             0.75281,             0.73801,             0.76566,             0.28946,            0.022633,            0.005392,           0.0076446,           0.0095717,           0.0095717,           0.0095717
                  16,            0.034133,            0.038174,            0.024513,             0.70925,             0.75343,             0.77468,             0.26856,            0.022832,           0.0060154,             0.01064,           0.0095095,           0.0095095,           0.0095095
                  17,              0.0334,            0.038448,            0.023968,             0.67366,             0.72508,             0.65915,             0.19067,            0.025214,            0.004981,           0.0069807,           0.0094434,           0.0094434,           0.0094434
                  18,            0.032691,            0.038673,            0.022798,             0.69095,             0.76386,             0.69783,              0.1875,            0.026004,           0.0056724,           0.0067589,           0.0093733,           0.0093733,           0.0093733
                  19,            0.033712,             0.03942,            0.023681,             0.90446,             0.89331,             0.93017,             0.34298,            0.021729,           0.0049923,           0.0063537,           0.0092995,           0.0092995,           0.0092995
                  20,            0.031621,            0.038375,            0.022509,             0.67972,             0.78814,             0.72685,             0.19347,            0.025669,           0.0063575,           0.0044117,           0.0092219,           0.0092219,           0.0092219
                  21,            0.031562,            0.039041,            0.022056,             0.81806,             0.82981,             0.88069,             0.26509,            0.023155,           0.0053176,           0.0032309,           0.0091406,           0.0091406,           0.0091406
                  22,            0.030273,            0.037934,            0.021892,             0.86328,             0.75925,             0.86993,              0.3197,            0.022265,           0.0051201,           0.0053427,           0.0090557,           0.0090557,           0.0090557
                  23,            0.029936,            0.038296,            0.021703,             0.87032,             0.72502,             0.83088,             0.31113,            0.020845,           0.0070077,           0.0052307,           0.0089673,           0.0089673,           0.0089673
                  24,            0.029516,            0.037686,            0.021472,             0.77673,             0.85206,             0.81822,             0.25494,            0.023955,           0.0052121,           0.0041697,           0.0088755,           0.0088755,           0.0088755
                  25,            0.029553,            0.037593,            0.020582,             0.83279,             0.93207,             0.93592,             0.42137,            0.019487,           0.0050279,           0.0031133,           0.0087804,           0.0087804,           0.0087804
                  26,            0.028498,            0.037697,            0.019649,              0.7953,             0.84108,             0.82504,             0.28406,            0.023773,           0.0047113,           0.0042717,            0.008682,            0.008682,            0.008682
                  27,            0.028541,            0.037387,            0.020499,             0.91192,              0.9417,             0.96652,             0.41973,            0.019497,           0.0047854,           0.0030491,           0.0085805,           0.0085805,           0.0085805
                  28,            0.028862,             0.03708,            0.019697,             0.80988,             0.82624,             0.84781,             0.31631,            0.021842,           0.0057274,           0.0043046,           0.0084759,           0.0084759,           0.0084759
                  29,            0.028758,            0.036559,            0.019608,             0.86381,             0.87057,             0.89188,             0.34217,            0.020823,           0.0047155,           0.0034839,           0.0083684,           0.0083684,           0.0083684
                  30,            0.028379,            0.036948,            0.019325,             0.83743,             0.87817,              0.8761,             0.28933,            0.021984,           0.0051588,           0.0033401,           0.0082581,           0.0082581,           0.0082581
                  31,            0.027986,            0.036264,              0.0197,             0.83989,             0.87806,             0.88016,              0.2707,            0.024926,           0.0048425,           0.0026279,            0.008145,            0.008145,            0.008145
                  32,             0.02766,            0.036008,            0.019601,              0.8459,               0.829,              0.8859,             0.29555,            0.023814,           0.0044642,           0.0045805,           0.0080294,           0.0080294,           0.0080294
                  33,            0.028386,            0.035798,            0.018381,             0.87642,             0.91945,             0.94016,              0.3885,            0.019639,           0.0049429,           0.0037504,           0.0079112,           0.0079112,           0.0079112
